timeout_perc,outlier_perc,error_rate,Attractive,Unattractive,Attractive_upright,Unattractive_upright,Attractive_inverted,Unattractive_inverted,All_faces_upright,All_faces_inverted,X_Attractive_upright,X_Unattractive_upright,X_Attractive_inverted,X_Unattractive_inverted,X_All_faces_upright,X_All_faces_inverted
0,2.5,0.625,-19.37687688,-13.73989899,299.568,309.139,318.9444444,322.8787879,304.2876712,320.826087,328.1137885,337.6851098,347.4906654,351.4250088,332.8338922,349.3723079
0,3.125,0,-11.08225108,5.330236486,338.857,367.844,349.9393939,362.5135135,352.7014925,356.5857143,325.2704371,354.2570442,336.3526882,348.9268078,339.1147868,342.9990085
0,1.875,1.25,4.70341394,6.666666667,309.974,313.222,305.2702703,306.5555556,311.5540541,305.9041096,342.380497,345.629035,337.6770831,338.9623683,343.9608668,338.3109224
0,4.375,1.25,-9.922779923,6.367965368,336.429,341.939,346.3513514,335.5714286,339.1029412,341.1111111,337.4979006,343.0087231,347.4206805,336.6407577,340.1722703,342.1804403
0.625,5,0.625,22.35650624,15.96607143,391.121,390.938,368.7647059,374.9714286,391.0307692,371.9130435,350.818231,350.6345189,328.4617248,334.6684475,350.7277881,331.6100624
0,3.75,1.25,2.518894009,6.542792793,310.229,310.459,307.7096774,303.9166667,310.3472222,305.6716418,343.3264937,343.5573817,340.8075997,337.0145889,343.4451445,338.7695641
0,3.125,0,1.105263158,-3.181240064,366,368.765,364.8947368,371.9459459,367.46875,368.3733333,339.2455501,342.010256,338.1402869,345.191496,340.7143001,341.6188834
0,4.375,0.625,5.194444444,6.878787879,350.083,354.121,344.8888889,347.2424242,352.0144928,346.0144928,342.1759881,346.2138669,336.9815436,339.335079,344.1071475,338.1071475
0,3.75,0.625,3.294763514,-0.3594771242,322.781,321.611,319.4864865,321.9705882,322.1617647,320.6760563,342.486836,341.3166971,339.1920724,341.6761742,341.8673507,340.3816423
0,2.5,0,1.611111111,2.547979798,310.333,311.242,308.7222222,308.6944444,310.75,308.7083333,341.7450025,342.6540934,340.1338914,340.1061136,342.1616692,340.1200025
0,3.125,0,-8.35,9.956349206,378.25,395.528,386.6,385.5714286,386.8888889,386.0857143,332.9161605,350.1939383,341.2661605,340.2375891,341.5550494,340.7518748
0,5,2.5,-3.119485294,9.797478992,324.412,335.886,327.53125,326.0882353,330.2318841,326.7878788,337.0757723,348.5497219,340.1952576,338.7522429,342.8958916,339.4518864
0,4.375,0,-1.810606061,-3.468954248,275.25,274.559,277.0606061,278.0277778,274.9142857,277.5652174,340.1740104,339.4828339,341.9846164,342.9517881,339.8382961,342.4892277
0,3.75,0,-5.043859649,-2.142016807,339.289,346.029,344.3333333,348.1714286,342.4722222,346.3088235,336.0088203,342.7487583,341.0526799,344.8907752,339.1915688,343.0281701
0,5,1.875,-18.69444444,8.539553753,347.5,361.069,366.1944444,352.5294118,353.7460317,359.5571429,331.8874627,345.4564282,350.5819072,336.9168745,338.1334945,343.9446056
0,1.875,0,-1.057875458,1.571428571,374.686,364.429,375.7435897,362.8571429,369.5571429,369.6486486,346.3523747,336.0952319,347.4102502,334.5238033,341.2238033,341.3153091
0,1.875,0.625,-1.456140351,6.509774436,347.211,351.053,348.6666667,344.5428571,349.1315789,346.6338028,340.4909778,344.3330831,341.9471182,337.8233087,342.4120305,339.9142543
0,6.25,0,-13.4872814,21.10723627,337.324,370.946,350.8108108,349.8387097,354.8450704,350.3676471,326.121706,359.7441225,339.6089874,338.6368862,343.643247,339.1658236
0,1.875,0.625,-2.449494949,6.882882883,345.606,356.667,348.0555556,349.7837838,351.3768116,348.9315068,336.6894585,347.7500646,339.1389535,340.8671817,342.4602095,340.0149048
0,5.625,0,-6.184921764,-2.588744589,360.842,356.697,367.027027,359.2857143,358.915493,363.2638889,340.9903677,336.8452321,347.1752894,339.4339767,339.0637554,343.4121513
0,4.375,1.25,-22.15314402,-4.003463203,328.759,334.939,350.9117647,338.9428571,332.0483871,344.8405797,331.5051489,337.6859222,353.6582929,341.6893854,334.7949153,347.5871079
1.25,0.625,1.25,-12.13990461,-4.278764479,299.919,300.378,312.0588235,304.6571429,300.1486486,308.3043478,336.8280043,337.2874638,348.9679089,341.5662283,337.0577341,345.2134332
0,2.5,0.625,-3.480555556,-4.583947584,375.194,399.568,378.675,404.1515152,387.5479452,390.1917808,327.126531,351.4996541,330.6070866,356.0836017,339.4800318,342.1238674
0,5,0,-11.52618243,3.151785714,395.906,392.438,407.4324324,389.2857143,394.171875,398.6111111,340.7522316,337.2834816,352.2784141,334.1316959,339.0178566,343.4570927
0,2.5,0,-7.486486486,1.970588235,307.622,309,315.1081081,307.0294118,308.32,311.2394366,339.0553207,340.4336991,346.5418072,338.4631108,339.7536991,342.6731357
0,3.125,0,11.69444444,4.465277778,327.222,318.188,315.5277778,313.7222222,322.9705882,314.625,349.6664659,340.6317437,337.9720215,336.1664659,345.4148319,337.0692437
0,4.375,0,4.31875,15.30555556,344.719,345.5,340.4,330.1944444,345.1212121,335.2253521,345.678919,346.460169,341.360169,331.1546134,346.0813811,336.1855211
0.625,3.75,0.625,8.029647436,7.245967742,322.594,318.375,314.5641026,311.1290323,320.484375,313.0428571,347.0490259,342.8302759,339.0193785,335.5843082,344.9396509,337.4981331
0,1.25,0.625,-8.086580087,-1.426900585,317.429,330.889,325.5151515,332.3157895,324.2535211,329.1549296,331.9892249,345.4495423,340.0758049,346.8764429,338.8141746,343.715583
0,3.125,0.625,1.368421053,3.185958254,390.368,396.774,389,393.5882353,393.2463768,391.2608696,339.1488671,345.5546396,337.7804461,342.3686813,342.0268229,340.0413156
0,1.25,1.25,-13.14264264,3.621621622,380.135,376.73,393.2777778,373.1081081,378.4324324,383.0547945,340.4989343,337.0935289,353.6415769,333.4719073,338.7962316,343.4185937
0,2.5,0,6.742857143,-5.731863442,357.343,361.189,350.6,366.9210526,359.3194444,359.0958904,339.4182469,343.264579,332.6753898,348.9964424,341.3948342,341.1712802
0,2.5,1.25,3.58974359,12.32536765,320.256,328.031,316.6666667,315.7058824,323.7605634,316.1791045,341.3098928,349.0847326,337.7201492,336.7593649,344.814046,337.2325871
0,1.875,0.625,1.43029872,14.95900178,363.351,365.353,361.9210526,350.3939394,364.3098592,356.5633803,344.1893928,346.1909826,342.7590941,331.2319808,345.1479006,337.4014217
0,3.75,0.625,-9.816450216,-1.524955437,257.971,261.152,267.7878788,262.6764706,259.5147059,265.1940299,336.7422192,339.9223058,346.5586694,341.4472612,338.2854965,343.9648205
0,1.25,0.625,-12.0484127,-10.6505848,355.257,349.211,367.3055556,359.8611111,352.109589,363.5833333,338.5227286,332.476112,350.5711413,343.1266968,335.3751748,346.8489191
0,4.375,0,-10.68412698,-7.744833068,353.944,351.147,364.6285714,358.8918919,352.5857143,361.6805556,337.9515338,335.1541482,348.6356608,342.8989813,336.5928036,345.6876449
0,4.375,0,10.92289348,-16.93506494,335.382,324.429,324.4594595,341.3636364,329.826087,332.4285714,345.2210353,334.2672538,334.2981418,351.2023187,339.6647693,342.2672538
0.625,1.875,1.25,-4.632773109,3.098841699,347.514,352.829,352.1470588,349.7297297,350.1714286,350.8873239,338.1213481,343.4356338,342.7541212,340.3367921,340.778491,341.4943863
0,2.5,0,-5.838656839,-18.34477124,361.919,346.294,367.7575758,364.6388889,354.4366197,366.1304348,342.8762884,327.2514871,348.7149452,345.5962584,335.3939892,347.0878043
0,3.125,0,-14.8885918,-0.5800653595,319.788,332.361,334.6764706,332.9411765,326.3478261,333.8088235,330.9541265,343.5273588,345.8427183,344.1074241,337.5140738,344.9750712
0,4.375,0,-4.805042017,-5.117647059,417.371,411.853,422.1764706,416.9705882,414.6521739,419.5735294,341.4253687,335.9068813,346.2304107,341.0245284,338.706114,343.6274695
0,1.25,0,-1.749206349,4.400793651,340.029,347.429,341.7777778,343.0277778,343.7285714,342.4027778,338.1163589,345.5163589,339.8655653,341.1155653,341.8163589,340.4905653
0,3.75,0,-3.065977742,1.083333333,301.853,299.333,304.9189189,298.25,300.6119403,301.630137,341.9068582,339.3872503,344.9728359,338.303917,340.6658573,341.684054
0,3.75,1.25,0.9393939394,-9.285714286,296.424,292.114,295.4848485,301.4,294.2058824,298.5294118,341.2179261,336.9079694,340.2785321,346.1936836,338.999566,343.3230954
0,4.375,0,12.52195946,-0.5230524642,362.062,352.882,349.5405405,353.4054054,357.3333333,351.472973,348.7664446,339.5862975,336.2444851,340.10935,344.0372779,338.1769175
0,3.125,0,-9.306220096,-2.038392857,334.421,342.219,343.7272727,344.2571429,337.9857143,344,334.4728593,342.2705567,343.7790794,344.3089495,338.037521,344.0518067
0,3.75,0,17.09090909,14.55007949,370,363.118,352.9090909,348.5675676,366.4545455,350.6142857,352.5429393,345.6605864,335.4520302,331.1105069,348.9974848,333.157225
0,5.625,0.625,-14.68918919,2.064516129,336.811,350.065,351.5,348,342.8529412,349.5909091,331.49441,344.7481154,346.1835992,342.6835992,337.5365404,344.2745083
0,3.75,0.625,4.428209459,35.2887218,341.969,354.632,337.5405405,319.3428571,348.8428571,328.6944444,344.6187074,357.2815363,340.1904979,321.9928145,351.4928145,331.3444018
0,3.125,0,-14.76111111,4.305555556,400.6,408.167,415.3611111,403.8611111,404.4366197,409.6111111,334.7473588,342.3140255,349.5084699,338.0084699,338.5839785,343.7584699
0,5,2.5,-7.514285714,-9.202380952,360,361.083,367.5142857,370.2857143,360.5492958,368.7460317,336.4570186,337.540352,343.9713043,346.7427329,337.0063144,345.2030504
0,1.875,1.25,-12.26111111,9.833333333,373.139,388.833,385.4,379,380.9861111,382.2,332.6992954,348.3937399,344.9604065,338.5604065,340.5465177,341.7604065
0,0.625,0,-22.00730994,4.315789474,336.361,341.842,358.3684211,337.5263158,339.1756757,347.9473684,333.9777403,339.4587345,355.9850503,335.142945,336.7923049,345.5639976
0,6.25,0.625,-13.95609319,-9.522689076,299.516,305.706,313.4722222,315.2285714,302.7538462,314.3380282,332.1671446,338.3568979,346.1232378,347.879587,335.4048617,346.9890437
0,3.125,0,3.6,-0.9912698413,344.829,344.314,341.2285714,345.3055556,344.5714286,343.2957746,342.0580023,341.5437166,338.4580023,342.5349864,341.8008594,340.5252055
0.625,3.75,3.75,18.18346774,8.062388592,392.871,388.941,374.6875,380.8787879,390.8153846,377.8307692,349.6869989,345.7572076,331.5035311,337.694819,347.6314157,334.6468003
0,6.25,1.25,9.333333333,2.975975976,320.727,325.111,311.3939394,322.1351351,323.0144928,317.0714286,341.9718382,346.3556766,332.6385049,343.3797006,344.2590582,338.3159941
0,5.625,0.625,3.762308998,11.09495798,416.053,410.771,412.2903226,399.6764706,413.5205479,405.6923077,347.5388089,342.2576058,343.7764999,331.1626479,345.0067252,337.178485
0,2.5,2.5,1.6875,-7.731092437,301.656,298.412,299.96875,306.1428571,299.9848485,303.1940299,341.2499621,338.0054768,339.5624621,345.7365692,339.5785606,342.7877419
0,3.125,0,7.384126984,-3.921428571,337.829,334.829,330.4444444,338.75,336.3285714,334.5972222,343.5191367,340.5191367,336.1350097,344.4405653,342.0191367,340.2877875
0,2.5,0,10.92676768,-2.762162162,368.121,369.838,357.1944444,372.6,369.0285714,364.7887324,342.3462079,344.0628336,331.4194402,346.8249957,343.2535672,339.0137281
0,3.75,0,2.852678571,0.823016565,306.281,305.081,303.4285714,304.2580645,305.6376812,303.8181818,342.6839071,341.4837382,339.8312285,340.6607216,342.0403383,340.2208389
0,1.25,0,1.100158983,-8.463617464,314.865,313.077,313.7647059,321.5405405,313.9473684,317.8169014,340.1831096,338.3951678,339.0829506,346.8587853,339.2656132,343.1351461
0,1.25,0,-5.405405405,3.114285714,306.216,307.4,311.6216216,304.2857143,306.7916667,308.0555556,339.9745493,341.158333,345.3799547,338.0440473,340.5499997,341.8138886
0,4.375,0.625,-17.3019305,-2.636363636,344.784,345.636,362.0857143,348.2727273,345.1857143,355.3823529,335.7128032,336.565383,353.0147337,339.2017467,336.1147337,346.3113723
0,2.5,0.625,3.906200318,-1.917417417,306.176,303.056,302.2702703,304.972973,304.5714286,303.6216216,343.2185461,340.0976311,339.3123458,342.0150485,341.6135041,340.6636971
0,1.875,0.625,-6.415915916,11.67982456,359.973,351.917,366.3888889,340.2368421,356,352.9594595,346.5472967,338.4909904,352.9632126,326.8111659,342.5743238,339.5337832
0,4.375,0,2.082720588,-9.138888889,376.176,354.444,374.09375,363.5833333,365,368.5294118,350.3586977,328.6266715,348.2759771,337.7655604,339.1822271,342.7116388
0,4.375,0,3.485714286,8.722222222,373.571,385,370.0857143,376.2777778,379.2028986,373.2253521,338.4976955,349.9262669,335.0119812,341.2040447,344.1291654,338.151619
0,3.75,0,-2.942857143,1.92034632,314.743,327.606,317.6857143,325.6857143,320.9852941,321.6857143,334.4977601,347.3609636,337.4406173,345.4406173,340.7401971,341.4406173
0,3.125,0,-19.60885886,-7.871428571,387.919,390.629,407.5277778,398.5,389.2361111,403.2794118,332.8905825,335.600235,352.4994414,343.4716636,334.2077747,348.2510754
0,3.75,0.625,-5.141891892,4.396057348,304.108,315.944,309.25,311.5483871,309.9452055,310.3134328,335.0766405,346.9129769,340.2185324,342.5169195,340.9137379,341.2819653
0,5,0,-0.04838709677,-4.561654135,317.452,315.886,317.5,320.4473684,316.6212121,319.1,340.770757,339.2048584,340.8191441,343.7665126,339.9403563,342.4191441
0,2.5,0,-0.7990196078,-17.00827068,311.118,302.763,311.9166667,319.7714286,306.7083333,315.7887324,340.9267815,332.5722923,341.7258011,349.580563,336.5174678,345.5978668
0,5.625,0.625,5.806060606,4.044226044,341.2,350.135,335.3939394,346.0909091,345.7916667,340.7424242,339.127783,348.0629181,333.3217224,344.0186921,343.7194497,338.6702073
0,3.75,0,5.056277056,0.3882063882,344.571,332.297,339.5151515,331.9090909,338.2638889,335.7121212,348.6800609,336.4059297,343.6237839,336.0177233,342.3725213,339.8207536
0,3.125,1.25,-17.83496732,-20.68933824,358.694,349.281,376.5294118,369.9705882,354.2647059,373.25,336.1828398,326.7696454,354.0178071,347.4589836,331.7531013,350.7383954
0,1.25,0,1.111278195,2.314327485,289.743,291.972,288.6315789,289.6578947,290.8732394,289.1447368,340.8925644,343.1219294,339.7812862,340.8076019,342.0229466,340.2944441
0,3.125,0,-10.02620803,1.206081081,304.758,324.125,314.7837838,322.9189189,314.2923077,318.8513514,329.2895483,348.6569725,339.3157563,347.4508914,338.8242802,343.3833239
0,5,0,-18.36525097,-7.652462121,360.743,372.879,379.1081081,380.53125,366.6323529,379.7681159,328.6194072,340.755338,346.9846582,348.4078001,334.508903,347.644666
0,2.5,0,-6.444015444,3.085714286,326.27,337.743,332.7142857,334.6571429,331.8472222,333.6857143,334.6041503,346.0767372,341.0481657,342.9910229,340.1811022,342.0195943
0,0.625,0,9.25,13.83783784,370.389,366.054,361.1388889,352.2162162,368.1917808,356.6164384,349.1079731,344.7731383,339.8579731,330.9353004,346.9108651,335.3355226
0,4.375,0.625,-6.389025389,-1.162679426,263.459,271.474,269.8484848,272.6363636,267.52,271.2424242,335.2495188,343.2637436,341.6385442,344.426423,339.3100594,343.0324836
0,5.625,0.625,10.92434211,2.360628619,275.188,280.103,264.2631579,277.7419355,277.8873239,270.3188406,342.0907418,347.0058059,331.1663997,344.6451773,344.7905657,337.2220823
0,1.875,0,0.3686868687,8.599206349,349.611,347.571,349.2424242,338.9722222,348.6056338,343.884058,344.4500936,342.410411,344.0814067,333.8112047,343.4446162,338.7230404